State,Constituency,Division/Seat No.,Name of Member
Tamil Nadu                                                  ,Kallakurichi,199,Shri    Adhi Sankar                                       
Tamil Nadu                                                  ,Dharmapuri,206,Shri  R.  Thamaraiselvan                                    
Tamil Nadu                                                  ,Vellore,207,Shri    Abdul Rahman                                      
Tamil Nadu                                                  ,Tirunelveli,227,Shri  S. S.  Ramasubbu                                         
Tamil Nadu                                                  ,Ramanthapuram,250,Shri    Sivakumar @  Ritheesh                             
Tamil Nadu                                                  ,Chidambaram,256,Shri  Thol Thirumaavalavan  
Tamil Nadu                                                  ,Kanniyakumari,262,Smt.  J. Helen Davidson  
Tamil Nadu                                                  ,Thoothukkudi,263,Shri  S. R.  Jeyadurai                                         
Tamil Nadu                                                  ,Karur,285,Dr.  M.  Thambidurai                                       
Tamil Nadu                                                  ,Salem,290,Shri  S.  Semmalai                                          
Tamil Nadu                                                  ,Mayiladuthurai,298,Shri  O. S.  Manian                                            
Tamil Nadu                                                  ,Tiruvallur,305,Shri  P.  Venugopal                                         
Tamil Nadu                                                  ,Chennai South,306,Shri  C.  Rajendran                                         
Tamil Nadu                                                  ,Coimbatore,314,Shri  P.R.  Natarajan                                         
Tamil Nadu                                                  ,Viluppuram,317,Shri  M.  Anandan                                           
Tamil Nadu                                                  ,Pollachi,328,Shri  K.  Sugumar                                           
Tamil Nadu                                                  ,Tiruppur,337,Shri  C.  Sivasami                                          
Tamil Nadu                                                  ,Tenkasi,349,Shri  P.  Lingam                                            
Tamil Nadu                                                  ,Tiruchirappalli,350,Shri  P.  Kumar                                             
Tamil Nadu                                                  ,Erode,411,Shri  A.  Ganeshamurthi                                     
Tripura                                                     ,Tripura East,289,Shri  Baju Ban  Riyan                                             
Tripura                                                     ,Tripura West,297,Shri  Khagen  Das                                               
Uttar Pradesh                                               ,Rae Barelii,3,Smt.  Sonia  Gandhi                                            
Uttar Pradesh                                               ,Amethi,61,Shri  Rahul  Gandhi                                            
Uttar Pradesh                                               ,Moradabad,81,Shri  Mohammed  Azharuddin                                        
Uttar Pradesh                                               ,Salempur,114,Shri  Raj  Babbar                                            
Uttar Pradesh                                               ,Sultanpur,130,Dr.  Sanjay  Singh                                             
Uttar Pradesh                                               ,Mathura,131,Shri  Jayant  Chaudhary                                         
Uttar Pradesh                                               ,Pratapgarh,137,Rajkumari  Ratna  Singh                                             
Uttar Pradesh                                               ,Bijnor,142,Shri  Sanjay Singh  Chauhan                                           
Uttar Pradesh                                               ,Faizabad,158,Dr.  Nirmal  Khatri                                            
Uttar Pradesh                                               ,Hathras,164,Smt.  Sarika  D.S. Baghel                                       
Uttar Pradesh                                               ,Unnao,165,Smt.  Annu  Tandon                                            
Uttar Pradesh                                               ,Amroha,168,Shri  Devendra  Nagpal                                            
Uttar Pradesh                                               ,Ghosi,187,Shri  Dara Singh  Chauhan                                           
Uttar Pradesh                                               ,Domariyaganj,213,Shri  Jagdambika  Pal                                               
Uttar Pradesh                                               ,Barabanki,221,Shri  P.L.  Punia                                             
Uttar Pradesh                                               ,Bahraich,222,Shri  Kamal  Kishor   Commando                                 
Uttar Pradesh                                               ,Shrawasti,223,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    "
Uttar Pradesh                                               ,Maharajganj,224,Shri  Harsh  Vardhan                                           
Uttar Pradesh                                               ,Bareilly,225,Shri  Praveen Singh  Aron                                              
Uttar Pradesh                                               ,Akbarpur,238,Shri  Raja Ram  Pal                                               
Uttar Pradesh                                               ,Kheri,240,Shri  Zafar Ali  Naqvi                                             
Uttar Pradesh                                               ,Mainpuri,276,Shri  Mulayam Singh  Yadav                                             
Uttar Pradesh                                               ,Allahabad,278,Kunwar  Rewati Raman  Singh                                             
Uttar Pradesh                                               ,Lalganj,279,Dr.    Bali Ram                                          
Uttar Pradesh                                               ,Kaushambi ,283,Shri  Shailendra  Kumar                                             
Uttar Pradesh                                               ,Sant Kabir Nagar,284,Shri  Bhisma  Shankar Alias Kushal Tiwari                       
Uttar Pradesh                                               ,Kannauj,286,Smt.  Dimple  Yadav                                             
Uttar Pradesh                                               ,Misrikh,287,Shri  Ashok Kumar  Rawat                                             
Uttar Pradesh                                               ,Sambhal,288,Dr.  Shafiqur Rahman  Barq                                              
Uttar Pradesh                                               ,Etah,291,Shri  Kalyan  Singh                                             
Uttar Pradesh                                               ,Kaiserganj,292,Shri  Brij Bhushan Sharan  Singh                                             
Uttar Pradesh                                               ,Machhlishahr,293,Shri  Tufani  Saroj                                             
Uttar Pradesh                                               ,Saharanpur,294,Shri  Jagdish Singh  Rana                                              
Uttar Pradesh                                               ,Hamirpur,295,Shri  Vijay Bahadur  Singh                                             
Uttar Pradesh                                               ,Banda,299,Shri  R.K. Singh  Patel                                             
Uttar Pradesh                                               ,Mohanlalganj,300,Smt.  Sushila  Saroj                                             
Uttar Pradesh                                               ,Fatehpur Sikri,301,Smt.  Seema  Upadhyay                                          
Uttar Pradesh                                               ,Kairana,302,  Smt. Tabassum  Hasan  
Uttar Pradesh                                               ,Chandauli,310,Shri    Ramkishun                                         
Uttar Pradesh                                               ,Fatehpur,311,Shri  Rakesh  Sachan                                            
Uttar Pradesh                                               ,Aligarh,312,Smt.  Raj Kumari  Chauhan                                           
Uttar Pradesh                                               ,Sitapur,313,Smt.  Kaisar  Jahan                                             
Uttar Pradesh                                               ,Etawah,320,Shri  Premdas  Katheria                                          
Uttar Pradesh                                               ,Badaun,321,Shri  Dharmendra  Yadav                                             
Uttar Pradesh                                               ,Ballia,322,Shri  Neeraj  Shekhar                                           
Uttar Pradesh                                               ,Bhadohi ,323,Shri    Gorakhnath  Pandey                                
Uttar Pradesh                                               ,Jaunpur,324,Shri  Dhananjay  Singh                                             
Uttar Pradesh                                               ,Hardoi,331,Smt.  Usha  Verma                                             
Uttar Pradesh                                               ,Mirzapur,332,Shri  Bal Kumar  Patel                                             
Uttar Pradesh                                               ,Ambedkar Nagar,333,Shri  Rakesh  Pandey                                            
Uttar Pradesh                                               ,Deoria,334,Shri  Gorakh Prasad  Jaiswal                                           
Uttar Pradesh                                               ,Robertsganj,341,Shri  Pakauri  Lal                                               
Uttar Pradesh                                               ,Jalaun,342,Shri  Ghanshyam  Anuragi                                           
Uttar Pradesh                                               ,Bulandshahr,343,Shri  Kamlesh  Balmiki                                           
Uttar Pradesh                                               ,Basti,344,Shri  Arvind Kumar  Chaudhary                                         
Uttar Pradesh                                               ,Salempur,346,Shri  Ramashankar  Rajbhar                                           
Uttar Pradesh                                               ,Shahjahanpur,354,Shri    Mithlesh Kumar                                    
Uttar Pradesh                                               ,Nagina,355,Shri  Yashvir  Singh                                             
Uttar Pradesh                                               ,Ghazipur,356,Shri  Radhey Mohan  Singh                                             
Uttar Pradesh                                               ,Phulpur,357,Shri  Kapil Muni  Karwariya                                         
Uttar Pradesh                                               ,Gautam Buddha Nagar,358,Shri  Surendra Singh  Nagar                                             
Uttar Pradesh                                               ,Muzaffarnagar,359,Shri  Kadir  Rana                                              
Uttar Pradesh                                               ,Rampur,382,Smt.  Jaya Prada  Nahata                                            
Uttar Pradesh                                               ,Bansgaon,436,Shri  Kamlesh  Paswan                                            
Uttar Pradesh                                               ,Agra,437,Prof.(Dr.)  Ram Shankar  Katheria                                          
Uttar Pradesh                                               ,Meerut,438,Shri  Rajendra  Agarwal                                           
Uttar Pradesh                                               ,Pilibhit,439,Shri    Varun  Gandhi                                            
Uttar Pradesh                                               ,Varanasi,454,Dr.  Murli Manohar  Joshi                                             
Uttar Pradesh                                               ,Ghaziabad,455,Shri  Rajnath  Singh                                             
Uttar Pradesh                                               ,Aonla,467,Smt.  Maneka  Gandhi                                            
Uttar Pradesh                                               ,Gorakhpur,475,Shri  Yogi  Adityanath                                        
Uttar Pradesh                                               ,Azamgarh,485,Shri  Ramakant  Yadav                                             
Uttar Pradesh                                               ,Lucknow,490,Shri  Lalji  Tandon                                            
Uttarakhand                                                 ,Hardwar,29,Shri  Harish  Rawat                                             
Uttarakhand                                                 ,Garhwal,77,Shri  Satpal  Maharaj                                           
Uttarakhand                                                 ,Nainital-Udhamsingh Nagar,84,Shri  K.C.  Singh Baba                                        
Uttarakhand                                                 ,Almora,226,Shri  Pradeep  Tamta                                             
West Bengal                                                 ,Maldaha Dakshin,63,Shri  A.H.   Khan  Choudhury                                         
West Bengal                                                 ,Baharampur,64,Shri  Adhir Ranjan  Chowdhury                                         
West Bengal                                                 ,Raiganj,68,Smt.  Deepa  Dasmunsi                                          
West Bengal                                                 ,Maldaha Uttar,163,Ms.  Mausam  Noor                                              
West Bengal                                                 ,Murshidabad,172,Shri  Abdul Mannan  Hossain                                           
West Bengal                                                 ,Sreerampur,196,Shri  Kalyan  Banerjee                                          
West Bengal                                                 ,Diamond Harbour,208,Shri  Somendranath  Mitra                                             
West Bengal                                                 ,Barasat,217,Dr.  Kakoli Ghosh  Dastidar                                          
West Bengal                                                 ,Ghatal,280,Shri  Gurudas  Das Gupta                                         
West Bengal                                                 ,Kolkata Dakshin,281,Shri  Subrata  Bakshi                                            
West Bengal                                                 ,Bolpur,296,Dr.  Ram Chandra  Dome                                              
West Bengal                                                 ,Medinipur,303,Shri  Prabodh  Panda                                             
West Bengal                                                 ,Asansol,304,Shri  Bansagopal  Chowdhury                                         
West Bengal                                                 ,Basirhat,309,Shri  S.K. Nurul  Islam                                             
West Bengal                                                 ,Alipurduars,316,Shri  Manohar  Tirkey                                            
West Bengal                                                 ,Barrackpur,318,Shri  Dinesh  Trivedi                                           
West Bengal                                                 ,Bangaon,319,Shri  Gobinda Chandra  Naskar                                            
West Bengal                                                 ,Bishnupur,325,Smt.  Susmita  Bauri                                             
West Bengal                                                 ,Bardhaman Purba,326,Dr.  Anup Kumar  Saha                                              
West Bengal                                                 ,Jhargram,327,Shri  Pulin Bihari  Baske                                             
West Bengal                                                 ,Howrah,329,Shri  Ambica  Banerjee                                          
West Bengal                                                 ,Tamluk,330,Shri    Suvendu   Adhikari                                
West Bengal                                                 ,Bardhaman-Durgapur,335,Sk.   Saidul  Haque                                             
West Bengal                                                 ,Jalpaiguri,336,Shri  Mahendra Kumar  Roy                                               
West Bengal                                                 ,Birbhum,338,Smt.  Satabdi  Roy                                               
West Bengal                                                 ,Krishnanagar,339,Shri  Tapas  Paul                                              
West Bengal                                                 ,Ranaghat,340,Dr.  Sucharu Ranjan  Haldar                                            
West Bengal                                                 ,Hooghly,352,Dr.  Ratna  De (Nag)                                          
West Bengal                                                 ,Jadavpur,353,Shri  Kabir  Suman                                             
West Bengal                                                 ,Arambagh,361,Shri  Sakti  Mohan   Malik                                     
West Bengal                                                 ,Balurghat,362,Shri  Prasanta Kumar  Majumdar                                          
West Bengal                                                 ,Joynagar,364,Dr.  Tarun  Mondal                                            
West Bengal                                                 ,Bankura,365,Shri  Basudeb  Acharia                                           
West Bengal                                                 ,Purulia,396,Shri  Narahari  Mahato                                            
West Bengal                                                 ,Cooch Behar,407,Shri  Nripendra Nath  Roy                                               
West Bengal                                                 ,Darjeeling,466,Shri  Jaswant  Singh                                             
