State,Constituency,Division/Seat No.,Name of Member
Bihar                                                       ,Samastipur,445,Shri  Maheshwar  Hazari                                            
Bihar                                                       ,Patna Sahib,460,Shri  Shatrughan  Sinha                                             
Bihar                                                       ,Bhagalpur,461,Shri  Syed Shahnawaz  Hussain                                           
Bihar                                                       ,Madhubani,462,Shri  Hukamdeo Narayan  Yadav                                             
Bihar                                                       ,Purvi Champaran ,480,Shri  Radha Mohan  Singh                                             
Bihar                                                       ,Katihar,482,Shri  Nikhil Kumar  Choudhary                                         
Bihar                                                       ,Darbhanga,503,Shri  Kirti  Azad                                              
Bihar                                                       ,Purnia,513,Shri  Uday  Singh                                             
Bihar                                                       ,Paschim Champaran,519,Dr.  Sanjay  Jaiswal                                           
Bihar                                                       ,Nawada,524,Dr.  Bhola  Singh                                             
Bihar                                                       ,Araria,533,Shri  Pradeep Kumar  Singh                                             
Chhattisgarh                                                ,Nominated Anglo-Indian,152,Smt.  Ingrid  Mcleod                                            
Chhattisgarh                                                ,Durg,426,Kum.  Saroj  Pandey                                            
Chhattisgarh                                                ,Raipur,464,Shri  Ramesh  Bais                                              
Chhattisgarh                                                ,Raigarh,479,Shri  Vishnu Deo  Sai                                               
Chhattisgarh                                                ,Kanker,499,Shri  Sohan  Potai                                             
Chhattisgarh                                                ,Mahasamund,516,Shri  Chandulal Sahu  Chandu Bhaiya  
Chhattisgarh                                                ,Bastar,522,Shri  Dinesh  Kashyap                                           
Chhattisgarh                                                ,Rajnandgaon,536,Shri  Madhusudan  Yadav                                             
Chhattisgarh                                                ,Janjgir-Champa ,541,Smt.  Kamla Devi  Patle                                             
Chhattisgarh                                                ,Surguja,549,Shri  Murarilal  Singh                                             
Dadra and Nagar Haveli                                      ,Dadra and Nagar Haveli,546,Shri  Natubhai Gomanbhai  Patel                                             
Daman and Diu                                               ,Daman and Diu,537,Shri  Lalubhai  B.  Patel                                             
Delhi                                                       ,East Delhi,72,Shri  Sandeep  Dikshit                                           
Delhi                                                       ,West Delhi,90,Shri  Mahabal  Mishra                                            
Delhi                                                       ,South Delhi,91,Shri  Ramesh  Kumar                                             
Delhi                                                       ,North East Delhi,110,Shri  Jai Prakash  Agarwal                                           
Goa                                                         ,South Goa,126,Shri  Francisco  Sardinha                                          
Goa                                                         ,North Goa,481,Shri  Shripad Yesso  Naik                                              
Gujarat                                                     ,Surendranagar,117,Shri  Somabhai Gandalal Koli  Patel                                             
Gujarat                                                     ,Jamnagar,149,Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    
Gujarat                                                     ,Valsad,154,Shri  Kishan V.  Patel                                             
Gujarat                                                     ,Dahod,161,Dr.  Prabha Kishore  Taviad                                            
Gujarat                                                     ,Rajkot,175,Shri  Kuvarjibhai Mohanbhai  Bavalia                                           
Gujarat                                                     ,Porbandar,176,Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           
Gujarat                                                     ,Banaskantha,179,Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              
Gujarat                                                     ,Patan,180,Shri  Jagdish  Thakor                                            
Gujarat                                                     ,Surat,425,Smt.  Darshana  Jardosh                                           
Gujarat                                                     ,Gandhinagar,457,Shri  Lal Krishna  Advani                                            
Gujarat                                                     ,Ahmedabad East,471,Shri  Harin  Pathak                                            
Gujarat                                                     ,Bhavnagar,476,Shri  Rajendrasinh  Rana                                              
Gujarat                                                     ,Bharuch,487,Shri  Mansukhbhai Dhanjibhai  Vasava                                            
Gujarat                                                     ,Chhota Udaipur,500,Shri  Ramsinhbhai Patalbhai  Rathwa                                            
Gujarat                                                     ,Junagadh,515,Shri  Dinubhai  Boghabhal   Solanki                               
Gujarat                                                     ,Panchmahal,520,Shri  Prabhatsinh  Pratapsinh Chauhan                                
Gujarat                                                     ,Navsari,526,Shri  C. R.  Patil                                             
Gujarat                                                     ,Vadodara,527,Shri  Balkrishna Khanderao  Shukla                                            
Gujarat                                                     ,Sabarkantha,535,Shri  Chauhan  Mahendrasinh                                      
Gujarat                                                     ,Ahmedabad West,538,Dr.  Kiritbhai  Premajibhai    Solanki                            
Gujarat                                                     ,Mehesana,544,Smt.  Jayshreeben  Kanubhai    Patel                                 
Gujarat                                                     ,Amreli,547,Shri    Naranbhai   Kachhadia                             
Gujarat                                                     ,Kachchh,550,Smt.  Jat Poonamben  Veljibhai                                         
Haryana                                                     ,Kurukshetra,75,Shri  Naveen  Jindal                                            
Haryana                                                     ,Sirsa,83,Shri  Ashok  Tanwar                                            
Haryana                                                     ,Faridabad,118,Shri  Avtar Singh  Bhadana                                           
Haryana                                                     ,Gurgaon,121,Shri  Inderjit Singh  Rao                                              
Haryana                                                     ,Karnal,129,Dr.  Arvind Kumar  Sharma                                            
Haryana                                                     ,Rohtak,133,Shri  Deepender Singh  Hooda                                             
Haryana                                                     ,Bhiwani-Mahendragarh,160,Smt.  Shruti  Choudhry                                          
Haryana                                                     ,Hisar,401,Shri  Kuldeep  Bishnoi                                           
Himachal Pradesh                                            ,Mandi,111,Shri  Virbhadra  Singh                                             
Himachal Pradesh                                            ,Shimla,448,Shri  Virender  Kashyap                                           
Himachal Pradesh                                            ,Kangra,451,Dr.  Rajan  Sushant                                           
Himachal Pradesh                                            ,Hamirpur,495,Shri  Anurag Singh  Thakur                                            
Jammu and Kashmir                                           ,Jammu,79,Shri  Madan Lal  Sharma                                            
Jammu and Kashmir                                           ,Udhampur,80,Chaudhary  Lal  Singh                                             
Jammu and Kashmir                                           ,Ladakh,204,Shri  Hassan  Khan                                              
Jammu and Kashmir                                           ,Anantnag,212,Shri  Mirza Mehboob  Beg                                               
Jammu and Kashmir                                           ,Baramulla,228,Shri  Sharief Ud Din  Shariq                                            
Jharkhand                                                   ,Jamshedpur,184,Shri  Ajay  Kumar                                             
Jharkhand                                                   ,Dumka,189,Shri  Shibu  Soren                                             
Jharkhand                                                   ,Kodarma,211,Shri  Babu Lal  Marandi                                           
Jharkhand                                                   ,Palamu,254,Shri  Kameshwar  Baitha                                            
Jharkhand                                                   ,Chatra,381,Shri  Inder Singh  Namdhari                                          
Jharkhand                                                   ,Hazaribagh,463,Shri  Yashwant  Sinha                                             
Jharkhand                                                   ,Giridih,502,Shri  Ravindra Kumar  Pandey                                            
